BEDS,school,clean_school,charter,print_diff
140000000000,ERIE COUNTY,Erie County average,,
8686868686868,CHARTERS,Charters average,,
400000000000,NIAGARA COUNTY,Niagara County average,,
142101040000,AKRON CENTRAL SCHOOL DISTRICT,AKRON SCHOOL DISTRICT,,
142101040001,AKRON ELEMENTARY SCHOOL,Akron Elementary,,
142101040003,AKRON MIDDLE SCHOOL,Akron Middle,,
140101060000,ALDEN CENTRAL SCHOOL DISTRICT,ALDEN SCHOOL DISTRICT,,
140101060005,ALDEN MIDDLE SCHOOL,Alden Middle,,
140201060000,AMHERST CENTRAL SCHOOL DISTRICT,AMHERST,,
140201060001,AMHERST MIDDLE SCHOOL,Amherst Middle,,
140201060005,SMALLWOOD DRIVE SCHOOL,Smallwood,,
140201060006,WINDERMERE BLVD SCHOOL,Windermere,,
140600010000,BUFFALO CITY SCHOOL DISTRICT,Buffalo Sch. Dist. average,,BUFFALO SCHOOL DISTRICT
140600860911,ALOMA D JOHNSON CHARTER SCHOOL,Johnson,x,
140600010133,ALTERNATIVE HIGH SCHOOL AT 44,Alternative High School,,
140600010122,BENNETT PARK MONTESSORI SCHOOL,Bennett Park Montessori,,
140600010033,BILINGUAL CENTER,Bilingual Center,,
140600010097,BUFFALO ACADEMY FOR THE VISUAL & PERFORMING ARTS,Performing Arts,,
140600860861,BUFFALO ACADEMY OF SCIENCE CHARTER SCHOOL,Bflo. Academy of Science,x,
140600010006,BUFFALO ELEMENTARY SCHOOL OF TECHNOLOGY,Bflo. Elem. Sch. of Tech.,,
140600860851,BUFFALO UNITED CHARTER SCHOOL,Buffalo United,x,
140600010032,BUILD ACADEMY,BUILD Academy,,
140600010102,CITY HONORS SCHOOL AT FOSDICK MASTEN PARK,City Honors,,
140600010053,COMMUNITY SCHOOL #53 AT #4,Community School 53,,
140600010003,D'YOUVILLE-PORTER CAMPUS,D'Youville-Porter,,
140600010001,DISCOVERY SCHOOL,Discovery School,,
140600010018,DR ANTONIA PANTOJA COMMUNITY SCHOOL OF ACADEMIC EXCELLENCE AT #18,Pantoja,,
140600010054,DR GEORGE BLACKMAN ECC,Blackman,,
140600010094,DR LYDIA T WRIGHT SCH OF EXCELLENCE,Wright,,
140600860896,ELMWOOD VILLAGE CHARTER SCHOOL,Elmwood Village,X,
140600860856,ENTERPRISE CHARTER SCHOOL,Enterprise,X,
140600010130,FRANK A SEDITA SCHOOL #30,Sedita,,
140600010056,FREDERICK OLMSTED #156,Olmsted 156,,
140600010129,GRABIARZ-CAMPUS SCHOOL #79,Grabiarz-Campus,,
140600010031,HARRIET ROSS TUBMAN ACADEMY,Tubman,,
140600010197,HARVEY AUSTIN SCHOOL #97,Austin,,
140600010076,HERMAN BADILLO COMMUNITY SCHOOL,Badillo Bilingual,,
140600010080,HIGHGATE HEIGHTS,Highgate Heights,,
140600010308,INTERNATIONAL PREPARATORY SCHOOL AT GROVER CLEVELAND AT #187,International Prep,,
140600010045,INTERNATIONAL SCHOOL,International School,,
140600860814,KING CENTER CHARTER SCHOOL,King Center,x,
140600010072,LORRAINE ELEMENTARY SCHOOL,Lorraine,,
140600010043,LOVEJOY DISCOVERY SCHOOL #43,Lovejoy Discovery,,
140600010037,MARVA J DANIEL FUTURES PREPARATORY SCHOOL,Daniel Futures,,
140600010132,MATH SCIENCE TECHNOLOGY PREPARATORY SCHOOL AT SENECA (THE),MST at Seneca,,
140600010019,NATIVE AMERICAN MAGNET,Native American Magnet,,
140600010017,PS 17,School 17,,
140600010027,PS 27 HILLERY PARK ACADEMY,Hillery Park,,
140600010059,PS 59 DR CHARLES DREW SCIENCE MAGNET,Drew Science Magnet,,
140600010061,PS 61 AT 171,Eve 61,,
140600010064,PS 64 FREDERICK LAW OLMSTED,Olmsted 64,,
140600010065,PS 65 ROOSEVELT ACADEMY ECC,Roosevelt,,
140600010066,PS 66 NORTH PARK ACADEMY,North Park,,
140600010069,PS 69 HOUGHTON ACADEMY,Houghton,,
140600010074,PS 74 HAMLIN PARK ELEMENTARY SCHOOL,Hamlin Park,,
140600010081,PS 81,School 81,,
140600010082,PS 82,School 82,,
140600860817,SOUTH BUFFALO CHARTER SCHOOL,South Buffalo,x,
140600010093,SOUTHSIDE ELEMENTARY SCHOOL,Southside,,
140600010126,STANLEY MAKOWSKI EARLY CHILDHOOD CENTER,Makowski,,
140600860838,TAPESTRY CHARTER SCHOOL,Tapestry,x,
140600010119,WATERFRONT SCHOOL,Waterfront,,
140600860986,WEST BUFFALO CHARTER SCHOOL,West Buffalo,x,
140600010118,WEST HERTEL ELEMENTARY SCHOOL,West Hertel,,
140600860874,WESTMINSTER COMMUNITY CHARTER SCHOOL,Westminster,x,
140701060000,CHEEKTOWAGA CENTRAL SCHOOL DISTRICT,CHEEKTOWAGA SCHOOL DISTRICT,,
140701060007,CHEEKTOWAGA MIDDLE SCHOOL,Cheektowaga Middle,,
140701060008,PINE HILL EDUCATION CENTER,Pine Hill,,
140701060004,UNION EAST ELEMENTARY SCHOOL,Union East,,
140702030000,CHEEKTOWAGA-MARYVALE UNION FREE SCHOOL DISTRICT,MARYVALE SCHOOL DISTRICT,,
140702030004,MARYVALE INTERMEDIATE SCHOOL,Maryvale Intermediate,,
140702030005,MARYVALE MIDDLE SCHOOL,Maryvale Middle,,
140709030000,CHEEKTOWAGA-SLOAN UNION FREE SCHOOL DISTRICT,SLOAN SCHOOL DISTRICT,,
140709030003,JOHN F KENNEDY MIDDLE SCHOOL,JFK Middle,,
140709030002,WOODROW WILSON ELEMENTARY SCHOOL,Wilson Elementary,,
140801060000,CLARENCE CENTRAL SCHOOL DISTRICT,CLARENCE SCHOOL DISTRICT,,
140801060007,CLARENCE CENTER ELEMENTARY SCHOOL,Clarence Center Elem.,,
140801060008,CLARENCE MIDDLE SCHOOL,Clarence Middle,,
140801060002,HARRIS HILL ELEMENTARY SCHOOL,Harris Hill Elementary,,
140801060003,LEDGEVIEW ELEMENTARY SCHOOL,Ledgeview Elementary,,
140801060005,SHERIDAN HILL ELEMENTARY SCHOOL,Sheridan Hill Elementary,,
140703020000,CLEVELAND HILL UNION FREE SCHOOL DISTRICT,CLEVELAND HILL SCHOOL DISTRICT,,
140703020002,CLEVELAND HILL ELEMENTARY SCHOOL,Cleveland Hill Elem.,,
140703020004,CLEVELAND HILL MIDDLE SCHOOL,Cleveland Hill Middle,,
140707030000,DEPEW UNION FREE SCHOOL DISTRICT,DEPEW SCHOOL DISTRICT,,
140707030005,CAYUGA HEIGHTS ELEMENTARY SCHOOL,Cayuga Heights Elem.,,
140707030004,DEPEW MIDDLE SCHOOL,Depew Middle,,
140301030000,EAST AURORA UNION FREE SCHOOL DISTRICT,EAST AURORA SCHOOL DISTRICT,,
140301030004,EAST AURORA MIDDLE SCHOOL,East Aurora Middle,,
140301030001,PARKDALE ELEMENTARY SCHOOL,Parkdale Elementary,,
141201060000,EDEN CENTRAL SCHOOL DISTRICT,EDEN SCHOOL DISTRICT,,
141201060005,EDEN ELEMENTARY SCHOOL,Eden Elementary,,
141201060001,EDEN JUNIOR-SENIOR HIGH SCHOOL,Eden Junior-Senior High,,
141401060000,EVANS-BRANT CENTRAL SCHOOL DISTRICT (LAKE SHORE),LAKE SHORE SCHOOL DISTRICT,,
141401060008,A J SCHMIDT ELEMENTARY SCHOOL,Schmidt Elementary,,
141401060001,HIGHLAND ELEMENTARY SCHOOL,Highland Elementary,,
141401060004,JOHN T WAUGH ELEMENTARY SCHOOL,Waugh Elementary,,
141401060009,LAKE SHORE MIDDLE SCHOOL,Lake Shore Middle,,
